year,country,built_reactors,shutdown_reactors,operating_reactors
1998,LTU,2,0,2
1999,LTU,2,0,2
2000,LTU,2,0,2
2001,LTU,2,0,2
2002,LTU,2,0,2
2003,LTU,2,0,2
2004,LTU,2,1,1
2005,LTU,2,1,1
2006,LTU,2,1,1
2007,LTU,2,1,1
2008,LTU,2,1,1
2009,LTU,2,2,0
2010,LTU,2,2,0
2011,LTU,2,2,0
2012,LTU,2,2,0
2013,LTU,2,2,0
2014,LTU,2,2,0
2015,LTU,2,2,0
2016,LTU,2,2,0
2017,LTU,2,2,0
2018,LTU,2,2,0
2019,LTU,2,2,0
2020,LTU,2,2,0
1989,MEX,1,0,1
1990,MEX,1,0,1
1991,MEX,1,0,1
1992,MEX,1,0,1
1993,MEX,1,0,1
1994,MEX,2,0,2
1995,MEX,2,0,2
1996,MEX,2,0,2
1997,MEX,2,0,2
1998,MEX,2,0,2
